id;annee;etat;apreciation;moyenne;moyenne_generale;rang;note_conduite;nom_semestre;matricule_rel
1;2022-03-28;REDOUBLANT;ADP d'Assas a;37377;52245;b Small Berkshire;22616;Semestre2;Licensed Investment Rican
2;2022-03-27;PASSANT;granular Borders Bedfordshire;30346;12792;Borders c;88280;Semestre2;orchestrate sexy
3;2022-03-27;PASSANT;Unbranded;23308;17559;IB override Personal;80930;Semestre1;cultivate Synergized
4;2022-03-28;PASSANT;synergize port withdrawal;87986;90071;schemas;8232;Semestre2;Directeur Suède
5;2022-03-27;REDOUBLANT;transmitting neural;47985;99237;payment;34258;Semestre1;Tuna deposit
6;2022-03-28;REDOUBLANT;Granite Account Agent;29622;31512;Money Agent c;76849;Semestre2;de Fresh
7;2022-03-28;PASSANT;Small calculate;75786;250;Corse;72195;Semestre2;JSON Executif
8;2022-03-27;PASSANT;Automated;58573;48581;Rupee Brésil ADP;24917;Semestre3;Shirt
9;2022-03-28;PASSANT;Stagiaire connect alarm;15211;84696;initiative;27368;Semestre2;parallelism
10;2022-03-27;PASSANT;c utilize microchip;74632;75715;Kazakhstan;1930;Semestre2;Yuan value-added distributed
